;EAN;Désignation;Stock;PVC;;
False;8410320002592;$? CAMP PECHU PAVO BRASEAD 340 ;63;4.25;;
False;8420962003864;$ # ?GOIKOA CHORIZ 90+SALCHI 90;17;2.79;;
False;8410843127536;$ #? POZO SALCHIC FRANKFU 3X160;341;2.00;;
False;8410764012706;$ ARGAL JAMON CURADO FIN PL 80;15;2.99;;
False;8412582008299;$ PANCETA IBERICA 300G CHICO;43;3.50;;
False;8410320006040;$ ? CAMP MANTECA DE CERDO 485;21;3.59;;
False;2323006000000;? ARGAL CHORIZO PAMPLONA;8;12.99;;
False;9400006729157;BOLSA VACIO 180X300 G-90;4052;0.08;;
False;2323013000000;$ ARGAL PECHUGA DE PAVO;20;13.99;;
False;2323022000000;$ ?SERRANO DELISANDWICH LANGOST;13;11.99;;
False;2323023000000;$? SERRANO DELISANDWI CANGREJO;8;11.99;;
False;2323038000000;$ ? MRM JAMON MOSTOLES S/ HUESO;56;13.99;;
False;2323044000000;$? CAMP SALCHICHON GRAN SERRANO;9;16.99;;
False;2323045000000;$? CAMP JAMON COCIDO EXTRA ;75;13.99;;
False;2323047000000;? CAMP CHOPPED PORK ;8;7.99;;
False;2323048000000;$?  CAMP CHOPPED BEEF ;9;7.99;;
False;2323318000000;$ IGLES CENTRO JAMON RESERVA;16;23.99;;
False;2323328000000;$ ? IGLES CENTRO JAMON IB. CEBO;9;52.99;;
False;2323329000000;$ IGLES CENTRO PALETA IB. CEBO;8;45.99;;
False;2323360000000;? REVILLA CHORIZO TRADICION PTE;6;16.99;;
False;2323365000000;IGLES CENTRO JAMON IB. BELLOTA;1;99.99;;
False;2323390000000;$?  CAMP PECHUGA PAVO BRASEADA;50;13.89;;
False;2323394000000;$ ? POZO MORTADELA C/ACEITUNA ;29;7.99;;
False;2323397000000;? GOIKOA SALCHICHON EXTRA ;6;10.99;;
False;2323450000000;$ ?  POZO MORTADELA PAVO;56;6.95;;
False;2323451000000;$ ? REVILLA CHORIZO TRADICION;8;16.99;;
False;9870002304526;BOLSA VACIO 250*350 90 M;3393;0.21;;
False;9870002304748;FILM MANUAL ZB 450X1500;8;59.00;;
False;2323475000000;$ ?POZO MORTADEL PAVO C/ ACEIT ;22;6.95;;
False;2323476000000;$?  ARGAL JAMON COCIDO BONNATUR;38;12.25;;
False;3086123148925;HOJAS AFEITAR BIC PLATINU;41;1.66;;
False;5000198009552;$? TABLETAS POLIDENT 30 TAB;36;4.70;;
False;4068885000283;$? DENT.LICOR POLO CLOROFILA;76;1.69;;
False;4068885000306;$ LICOR DEL POLO 2EN1 M.FRE;41;2.25;;
False;4068885000313;$ LIC POLO 2EN1 BLANQUEADOR;50;2.25;;
False;8410020053764;$#  LICOR D.POLO 2EN1 JUNIOR;41;2.25;;
False;8001090420671;GILLETTE FUSION POWER 1 UP;12;12.25;;
False;8436559719001;DON ALGODON GEL HIDR.750;17;4.79;;
